weekday,hour,member_casual,count
Thursday,19,member,36468
Thursday,20,casual,13531
Thursday,20,member,25453
Thursday,21,casual,11525
Thursday,21,member,20218
Thursday,22,casual,11060
Thursday,22,member,15709
Thursday,23,casual,6604
Thursday,23,member,8994
Tuesday,0,casual,2466
Tuesday,0,member,2614
Tuesday,1,casual,1419
Tuesday,1,member,1251
Tuesday,2,casual,867
Tuesday,2,member,722
Tuesday,3,casual,533
Tuesday,3,member,617
Tuesday,4,casual,596
Tuesday,4,member,1261
Tuesday,5,casual,1654
Tuesday,5,member,6644
Tuesday,6,casual,4594
Tuesday,6,member,20892
Tuesday,7,casual,9041
Tuesday,7,member,41238
Tuesday,8,casual,11354
Tuesday,8,member,49250
Tuesday,9,casual,8019
Tuesday,9,member,25096
Tuesday,10,casual,8099
Tuesday,10,member,17972
Tuesday,11,casual,10334
Tuesday,11,member,20954
Tuesday,12,casual,12297
Tuesday,12,member,24568
Tuesday,13,casual,12448
Tuesday,13,member,23779
Tuesday,14,casual,13008
Tuesday,14,member,24059
Tuesday,15,casual,15922
Tuesday,15,member,34838
Tuesday,16,casual,22683
Tuesday,16,member,56668
Tuesday,17,casual,26838
Tuesday,17,member,69613
Tuesday,18,casual,22570
Tuesday,18,member,50816
Tuesday,19,casual,16064
Tuesday,19,member,34374
Tuesday,20,casual,11579
Tuesday,20,member,23542
Tuesday,21,casual,9656
Tuesday,21,member,18014
Tuesday,22,casual,7556
Tuesday,22,member,11733
Tuesday,23,casual,4275
Tuesday,23,member,6000
Wednesday,0,casual,2573
Wednesday,0,member,2962
Wednesday,1,casual,1445
Wednesday,1,member,1514
Wednesday,2,casual,911
Wednesday,2,member,739
Wednesday,3,casual,557
Wednesday,3,member,689
Wednesday,4,casual,577
Wednesday,4,member,1194
Wednesday,5,casual,1732
Wednesday,5,member,6693
Wednesday,6,casual,4548
Wednesday,6,member,20894
Wednesday,7,casual,9184
Wednesday,7,member,40978
Wednesday,8,casual,12114
Wednesday,8,member,50169
Wednesday,9,casual,8054
Wednesday,9,member,26207
Wednesday,10,casual,7778
Wednesday,10,member,18557
Wednesday,11,casual,9864
Wednesday,11,member,22419
Wednesday,12,casual,12084
Wednesday,12,member,26039
Wednesday,13,casual,12039
Wednesday,13,member,25457
Wednesday,14,casual,13334
Wednesday,14,member,26774
Wednesday,15,casual,16329
Wednesday,15,member,36140
Wednesday,16,casual,22369
Wednesday,16,member,58564
Wednesday,17,casual,29070
Wednesday,17,member,72428
Wednesday,18,casual,24057
Wednesday,18,member,52101
Wednesday,19,casual,16989
Wednesday,19,member,35168
Wednesday,20,casual,12605
Wednesday,20,member,24858
Wednesday,21,casual,10844
Wednesday,21,member,19239
Wednesday,22,casual,8336
Wednesday,22,member,13017
Wednesday,23,casual,5006
Wednesday,23,member,6898
